Year,Mon,Week,Open,High,Low,Close,Volume
13,Jan,1,78.0333333333,78.2533333333,76.5966666667,77.0533333333,125649225
13,Jan,2,74.956,75.432,73.914,74.566,115117784
13,Jan,3,71.556,72.254,70.652,71.328,161427443
13,Jan,4,68.7525,69.4575,67.38,68.185,249492120
13,Jan,5,64.655,65.545,64.1975,65.015,130817120
13,Jul,1,59.07,60.0075,58.7,59.495,86016885
13,Jul,2,60.112,60.782,59.54,60.34,76926180
13,Jul,3,61.364,61.808,60.92,61.276,57279413
13,Jul,4,62.012,62.392,61.418,61.866,79969842
13,Jul,5,64.0833333333,64.9733333333,63.7566666667,64.46,73401738
13,Jun,2,63.676,64.222,62.868,63.586,88874168
13,Jun,3,62.512,63.044,61.68,62.134,77514605
13,Jun,4,60.918,61.378,60.196,60.488,80216116
13,Jun,5,57.362,57.798,56.426,56.96,103953451
13,Mar,1,62.57,62.6,61.43,61.5,138111792
13,Mar,2,61.086,61.888,60.396,61.118,127074103
13,Mar,3,61.844,62.608,61.306,62.022,114689710
13,Mar,4,64.662,65.604,64.072,65.056,110999415
13,Mar,5,65.585,65.875,64.81,64.9825,98113685
13,May,1,63.69,64.13,63.0566666667,63.5633333333,107558889
13,May,2,65.642,66.172,64.852,65.512,109329446
13,May,3,63.052,63.772,61.882,62.72,126869128
13,May,4,62.598,63.758,62.248,63.178,99046991
13,May,5,63.8575,64.65,63.365,63.845,90933886
13,Nov,1,74.86,74.97,73.69,74.29,68722304
13,Nov,2,74.4,74.998,73.858,74.462,63770779
13,Nov,3,74.43,75.034,74.136,74.654,61473546
13,Nov,4,74.298,74.696,73.794,74.118,56690964
13,Nov,5,76.105,77.3675,75.9375,77.1125,82022046
13,Oct,1,69.23,69.9275,68.625,69.4275,76543110
13,Oct,2,69.698,70.208,69.042,69.65,72563751
13,Oct,3,71.26,71.888,71.128,71.692,68860412
13,Oct,4,74.67,75.548,73.89,74.974,98422609
13,Oct,5,75.355,75.905,74.145,74.79,113506680
13,Sep,2,71.12,71.5325,70.2575,70.74,79564044
13,Sep,3,69.03,69.606,68.244,68.746,134043610
13,Sep,4,66.31,66.914,65.448,65.994,125431555
13,Sep,5,70.0,70.15,69.042,69.434,95433269
13,Sep,6,68.18,68.81,67.77,68.11,65039408
14,Apr,1,77.19,77.4225,76.6175,76.9575,51188788
14,Apr,2,75.014,75.5,74.37,74.866,62572993
14,Apr,3,74.295,74.735,73.64,74.4125,60726867
14,Apr,4,77.584,78.204,77.13,77.924,96523107
14,Apr,5,83.77,85.2933333333,83.4233333333,84.5966666667,121979078
14,Aug,1,94.9,96.62,94.81,96.13,48511286
14,Aug,2,95.134,95.702,94.324,94.978,44605104
14,Aug,3,96.538,97.192,96.03,96.936,35872706
14,Aug,4,99.84,100.71,99.51,100.432,49466581
14,Aug,5,101.844,102.384,101.32,101.862,47769243
14,Dec,1,115.964,116.926,113.812,115.224,53340217
14,Dec,2,112.284,113.894,110.686,111.964,51987584
14,Dec,3,109.664,111.498,108.35,109.76,65771315
14,Dec,4,112.5175,113.5125,112.1125,112.87,29849132
14,Dec,5,113.416666667,113.94,112.006666667,112.27,32961249
14,Feb,2,72.756,73.396,72.384,73.004,87070459
14,Feb,3,76.096,77.148,75.89,76.838,75935706
14,Feb,4,77.0175,77.4875,76.1975,76.4225,72536754
14,Feb,5,74.926,75.6,74.206,74.882,73675112
14,Jan,1,79.18,79.34,78.03,78.15,78547913
14,Jan,2,77.348,77.884,76.478,77.054,78740893
14,Jan,3,77.942,78.81,77.452,78.126,88593170
14,Jan,4,78.42,79.265,77.7775,78.6725,96709415
14,Jan,5,73.156,73.864,72.476,73.09,164618952
14,Jul,1,93.6833333333,94.0766666667,93.14,93.6766666667,29860101
14,Jul,2,94.994,96.036,94.232,95.394,46365967
14,Jul,3,95.656,96.172,94.202,94.814,49858916
14,Jul,4,95.796,96.586,95.214,96.11,55278255
14,Jul,5,98.1875,98.7075,97.2,97.7875,47078358
14,Jun,2,91.312,92.062,90.684,91.542,82602419
14,Jun,3,93.56,94.05,92.314,93.076,58629406
14,Jun,4,92.046,92.518,91.368,91.846,47045495
14,Jun,5,90.694,91.422,90.202,90.87,43251436
14,Jun,6,92.1,93.72,92.09,92.93,49589028
14,Mar,2,75.692,76.128,75.254,75.786,55314639
14,Mar,3,76.13,76.568,75.572,75.972,57764168
14,Mar,4,75.65,76.134,75.25,75.74,60839720
14,Mar,5,77.278,77.59,76.654,77.094,68017838
14,Mar,6,77.03,77.26,76.56,76.68,42167188
14,May,1,84.595,84.93,84.005,84.575,54465495
14,May,2,84.574,85.24,83.968,84.608,73319596
14,May,3,84.436,85.134,84.094,84.766,52332736
14,May,4,86.288,87.0,86.02,86.772,59133872
14,May,5,89.56,90.5975,89.145,89.93,100315565
14,Nov,2,108.806,109.44,108.04,108.914,39990562
14,Nov,3,110.41,111.63,110.218,111.356,41033336
14,Nov,4,115.214,116.628,114.374,115.382,46682937
14,Nov,5,118.2825,119.255,117.4875,118.5375,45484388
14,Oct,1,99.7666666667,100.373333333,98.5933333333,99.5666666667,47572899
14,Oct,2,100.074,101.258,99.474,100.184,56051631
14,Oct,3,98.548,99.634,97.156,98.006,71707948
14,Oct,4,102.688,103.526,102.05,103.054,71706583
14,Oct,5,106.374,106.996,105.904,106.834,44046121
14,Sep,1,100.9525,101.605,99.35,99.8325,80790009
14,Sep,2,99.602,101.426,98.53,100.088,92713846
14,Sep,3,101.62,102.162,100.672,101.364,59470597
14,Sep,4,100.72,101.878,99.688,100.814,67764988
14,Sep,5,99.73,100.99,99.58,100.43,52515225
15,Apr,1,124.925,125.34,123.645,124.785,36420784
15,Apr,2,125.952,127.164,125.04,126.524,36441482
15,Apr,3,126.722,127.246,125.82,126.17,34237233
15,Apr,4,127.89,129.248,127.106,128.616,41488135
15,Apr,5,131.3925,131.785,128.4,129.25,90614920
15,Aug,2,116.484,118.092,114.298,115.826,77000129
15,Aug,3,115.446,117.26,113.608,115.912,69037065
15,Aug,4,114.616,115.572,112.692,113.416,63557341
15,Aug,5,107.492,111.27,104.422,108.552,99216441
15,Aug,6,112.03,114.53,112.0,112.76,55962842
15,Dec,1,116.655,118.24,115.5675,116.9625,41811610
15,Dec,2,116.474,117.696,115.622,116.296,37770788
15,Dec,3,111.224,111.848,108.746,109.864,63021291
15,Dec,4,107.7375,108.235,106.7925,107.8,31658502
15,Dec,5,107.535,108.2125,106.26,107.035,30940386
15,Feb,2,119.018,119.85,117.94,119.142,54151480
15,Feb,3,122.966,124.334,122.462,124.032,60641357
15,Feb,4,128.0525,129.0475,127.6875,128.625,48588735
15,Feb,5,130.66,131.928,128.766,130.568,73643272
15,Jan,1,111.39,111.44,107.35,109.33,53204626
15,Jan,2,108.786,109.936,107.13,108.832,56650523
15,Jan,3,110.02,110.712,107.614,108.416,60845329
15,Jan,4,109.8375,111.5625,109.005,110.9125,49684260
15,Jan,5,115.7,116.83,113.91,114.722,93168536
15,Jul,1,126.665,126.815,125.88,126.52,28724881
15,Jul,2,124.22,124.986,122.318,123.522,55143673
15,Jul,3,126.722,127.494,126.12,127.244,37849006
15,Jul,4,127.466,128.844,126.394,127.54,68853804
15,Jul,5,122.908,123.246,121.912,122.562,38319702
15,Jun,1,129.976,130.652,129.308,129.726,34168176
15,Jun,2,128.176,129.028,127.178,127.972,44022917
15,Jun,3,127.158,127.82,126.488,127.26,39705051
15,Jun,4,127.742,128.532,127.018,127.4,39118800
15,Jun,5,125.515,126.295,124.67,124.975,46766054
15,Mar,2,128.858,129.496,127.346,128.0,49387698
15,Mar,3,125.166,126.372,123.036,124.386,65302809
15,Mar,4,126.756,127.816,125.49,126.772,53334595
15,Mar,5,125.644,126.458,124.394,124.954,41865235
15,Mar,6,125.07,126.445,124.18,125.4,44595111
15,May,1,126.1,130.13,125.3,128.95,58512638
15,May,2,127.132,127.894,125.506,126.478,54378396
15,May,3,127.124,128.014,126.336,127.182,41660302
15,May,4,130.148,131.436,129.714,130.85,43459485
15,May,5,131.5075,132.1425,130.0425,130.93,49537141
15,Nov,2,121.416,122.634,120.546,121.546,38725151
15,Nov,3,117.138,117.938,115.848,116.302,42964845
15,Nov,4,115.78,117.29,115.086,116.648,37616019
15,Nov,5,118.525,119.18,117.495,118.1175,27281404
15,Nov,6,117.99,119.41,117.75,118.3,37658671
15,Oct,1,108.54,110.315,107.43,109.98,60654192
15,Oct,2,110.576,111.47,109.188,110.898,52150936
15,Oct,3,111.51,112.164,110.54,111.3,36488265
15,Oct,4,113.848,115.246,113.012,114.768,44118465
15,Oct,5,118.15,119.176,116.538,117.826,61609842
15,Sep,1,110.46,111.8625,108.76,109.925,60010847
15,Sep,2,111.8925,113.5175,110.4375,112.31,62643930
15,Sep,3,115.326,116.15,114.062,115.074,54999515
15,Sep,4,114.074,115.292,113.174,114.528,47532362
15,Sep,5,112.283333333,113.206666667,109.676666667,110.6,63654937
16,Apr,1,108.78,110.0,108.2,109.99,25626163
16,Apr,2,109.804,110.818,109.036,109.818,28836358
16,Apr,3,110.568,111.628,109.87,110.69,31914648
16,Apr,4,107.07,107.69,105.874,106.634,37325362
16,Apr,5,99.302,100.452,98.172,99.164,66430573
