,Year,Mon,Week,Open,High,Low,Close,Volume,apple,amazon,google,Facebook,microsoft,Day
60,2013,07,4,62.012,62.392,61.418,61.866,79969842,31,13,73,64,21,28
61,2013,08,1,65.27,65.69,64.995,65.66,60128824,31,13,70,63,21,04
62,2013,08,2,66.256,66.688,65.648,66.146,73812229,31,12,71,63,21,11
63,2013,08,3,69.21,70.656,68.744,70.162,142767100,32,13,75,64,23,18
64,2013,08,4,72.17,72.584,71.532,71.86,83600885,32,13,77,64,24,25
65,2013,09,2,71.12,71.5325,70.2575,70.74,79564044,74,12,75,65,26,08
66,2013,09,3,69.03,69.606,68.244,68.746,134043610,54,13,79,66,26,15
67,2013,09,4,66.31,66.914,65.448,65.994,125431555,42,12,82,64,26,22
68,2013,09,5,70.0,70.15,69.042,69.434,95433269,36,12,82,61,25,29
69,2013,10,1,69.23,69.9275,68.625,69.4275,76543110,34,12,83,61,25,06
70,2013,10,2,69.698,70.208,69.042,69.65,72563751,33,12,82,61,25,13
71,2013,10,3,71.26,71.888,71.128,71.692,68860412,53,13,81,60,26,20
72,2013,10,4,74.67,75.548,73.89,74.974,98422609,40,13,80,59,25,27
73,2013,11,1,74.86,74.97,73.69,74.29,68722304,37,14,82,61,25,03
74,2013,11,2,74.4,74.998,73.858,74.462,63770779,36,14,78,59,24,10
75,2013,11,3,74.43,75.034,74.136,74.654,61473546,37,15,81,61,25,17
76,2013,11,4,74.298,74.696,73.794,74.118,56690964,42,19,76,59,25,24
77,2013,12,2,80.58,81.192,79.868,80.298,104662790,35,18,78,58,25,08
78,2013,12,3,80.478,81.048,79.872,80.236,77679687,36,17,75,58,23,15
79,2013,12,4,78.652,79.29,78.164,78.762,91786542,45,19,77,62,22,22
80,2013,12,5,81.065,81.305,80.415,80.7775,68672229,37,16,72,59,21,29
81,2014,01,1,79.18,79.34,78.03,78.15,78547913,34,15,77,57,23,05
82,2014,01,2,77.348,77.884,76.478,77.054,78740893,30,13,79,56,23,12
83,2014,01,3,77.942,78.81,77.452,78.126,88593170,30,13,78,58,24,19
84,2014,01,4,78.42,79.265,77.7775,78.6725,96709415,31,13,77,56,24,26
85,2014,02,2,72.756,73.396,72.384,73.004,87070459,28,12,74,56,23,09
86,2014,02,3,76.096,77.148,75.89,76.838,75935706,28,12,75,56,23,16
87,2014,02,4,77.0175,77.4875,76.1975,76.4225,72536754,30,12,79,56,23,23
88,2014,03,2,75.692,76.128,75.254,75.786,55314639,29,12,76,55,22,09
89,2014,03,3,76.13,76.568,75.572,75.972,57764168,27,12,76,54,22,16
90,2014,03,4,75.65,76.134,75.25,75.74,60839720,27,12,75,55,23,23
91,2014,03,5,77.278,77.59,76.654,77.094,68017838,26,12,73,55,23,30
92,2014,04,1,77.19,77.4225,76.6175,76.9575,51188788,26,12,75,56,24,06
93,2014,04,2,75.014,75.5,74.37,74.866,62572993,25,12,73,54,22,13
94,2014,04,3,74.295,74.735,73.64,74.4125,60726867,26,12,72,55,21,20
95,2014,04,4,77.584,78.204,77.13,77.924,96523107,27,12,76,54,22,27
96,2014,05,1,84.595,84.93,84.005,84.575,54465495,27,12,73,53,21,04
97,2014,05,2,84.574,85.24,83.968,84.608,73319596,25,11,73,52,20,11
98,2014,05,3,84.436,85.134,84.094,84.766,52332736,24,11,74,54,22,18
99,2014,05,4,86.288,87.0,86.02,86.772,59133872,25,11,71,55,20,25
100,2014,06,2,91.312,92.062,90.684,91.542,82602419,26,11,69,55,20,08
101,2014,06,3,93.56,94.05,92.314,93.076,58629406,26,12,67,54,19,15
102,2014,06,4,92.046,92.518,91.368,91.846,47045495,25,12,68,53,19,22
103,2014,06,5,90.694,91.422,90.202,90.87,43251436,26,12,67,53,18,29
104,2014,07,1,93.6833333333,94.0766666667,93.14,93.6766666667,29860101,26,12,65,53,18,06
105,2014,07,2,94.994,96.036,94.232,95.394,46365967,26,12,67,54,19,13
106,2014,07,3,95.656,96.172,94.202,94.814,49858916,27,13,69,55,19,20
107,2014,07,4,95.796,96.586,95.214,96.11,55278255,28,13,68,55,18,27
108,2014,08,1,94.9,96.62,94.81,96.13,48511286,28,13,69,55,19,03
109,2014,08,2,95.134,95.702,94.324,94.978,44605104,28,12,70,53,20,10
110,2014,08,3,96.538,97.192,96.03,96.936,35872706,28,13,72,54,21,17
111,2014,08,4,99.84,100.71,99.51,100.432,49466581,31,13,75,55,21,24
112,2014,08,5,101.844,102.384,101.32,101.862,47769243,31,13,76,54,22,31
113,2014,09,1,100.9525,101.605,99.35,99.8325,80790009,100,13,79,54,22,07
114,2014,09,2,99.602,101.426,98.53,100.088,92713846,49,13,79,53,22,14
115,2014,09,3,101.62,102.162,100.672,101.364,59470597,45,13,77,52,22,21
116,2014,09,4,100.72,101.878,99.688,100.814,67764988,37,13,77,52,22,28
117,2014,10,1,99.7666666667,100.373333333,98.5933333333,99.5666666667,47572899,35,14,77,51,21,05
118,2014,10,2,100.074,101.258,99.474,100.184,56051631,44,13,76,52,21,12
119,2014,10,3,98.548,99.634,97.156,98.006,71707948,40,13,76,51,21,19
120,2014,10,4,102.688,103.526,102.05,103.054,71706583,35,14,78,51,21,26
121,2014,11,2,108.806,109.44,108.04,108.914,39990562,33,14,77,49,22,09
122,2014,11,3,110.41,111.63,110.218,111.356,41033336,33,15,76,49,22,16
123,2014,11,4,115.214,116.628,114.374,115.382,46682937,37,21,72,51,21,23
124,2014,11,5,118.2825,119.255,117.4875,118.5375,45484388,34,19,77,49,21,30
125,2014,12,1,115.964,116.926,113.812,115.224,53340217,34,18,80,50,21,07
126,2014,12,2,112.284,113.894,110.686,111.964,51987584,34,18,77,49,20,14
127,2014,12,3,109.664,111.498,108.35,109.76,65771315,38,20,75,52,19,21
128,2014,12,4,112.5175,113.5125,112.1125,112.87,29849132,35,18,68,50,17,28
129,2015,01,1,111.39,111.44,107.35,109.33,53204626,31,15,75,46,19,04
130,2015,01,2,108.786,109.936,107.13,108.832,56650523,29,14,77,46,20,11
131,2015,01,3,110.02,110.712,107.614,108.416,60845329,28,14,73,46,22,18
132,2015,01,4,109.8375,111.5625,109.005,110.9125,49684260,29,14,75,48,21,25
133,2015,02,2,119.018,119.85,117.94,119.142,54151480,27,13,74,47,20,08
134,2015,02,3,122.966,124.334,122.462,124.032,60641357,27,13,72,45,20,15
135,2015,02,4,128.0525,129.0475,127.6875,128.625,48588735,27,12,74,45,20,22
136,2015,03,2,128.858,129.496,127.346,128.0,49387698,44,12,74,45,20,08
137,2015,03,3,125.166,126.372,123.036,124.386,65302809,29,12,74,45,20,15
138,2015,03,4,126.756,127.816,125.49,126.772,53334595,27,12,73,45,19,22
139,2015,03,5,125.644,126.458,124.394,124.954,41865235,27,13,71,44,19,29
140,2015,04,1,124.925,125.34,123.645,124.785,36420784,29,12,71,45,19,05
141,2015,04,2,125.952,127.164,125.04,126.524,36441482,27,12,73,44,18,12
142,2015,04,3,126.722,127.246,125.82,126.17,34237233,27,12,75,43,19,19
143,2015,04,4,127.89,129.248,127.106,128.616,41488135,28,12,75,44,19,26
144,2015,05,1,126.1,130.13,125.3,128.95,58512638,26,12,73,43,19,03
145,2015,05,2,127.132,127.894,125.506,126.478,54378396,26,12,73,43,18,10
146,2015,05,3,127.124,128.014,126.336,127.182,41660302,26,12,73,43,19,17
147,2015,05,4,130.148,131.436,129.714,130.85,43459485,26,12,72,44,18,24
148,2015,05,5,131.5075,132.1425,130.0425,130.93,49537141,27,12,70,44,19,31
149,2015,06,1,129.976,130.652,129.308,129.726,34168176,33,12,69,44,18,07
150,2015,06,2,128.176,129.028,127.178,127.972,44022917,27,13,64,42,19,14
151,2015,06,3,127.158,127.82,126.488,127.26,39705051,28,13,63,43,18,21
152,2015,06,4,127.742,128.532,127.018,127.4,39118800,34,12,62,44,17,28
153,2015,07,1,126.665,126.815,125.88,126.52,28724881,30,13,63,43,17,05
154,2015,07,2,124.22,124.986,122.318,123.522,55143673,30,15,66,44,17,12
155,2015,07,3,126.722,127.494,126.12,127.244,37849006,29,13,64,43,18,19
156,2015,07,4,127.466,128.844,126.394,127.54,68853804,28,14,67,43,22,26
157,2015,08,2,116.484,118.092,114.298,115.826,77000129,29,14,67,43,20,09
158,2015,08,3,115.446,117.26,113.608,115.912,69037065,29,13,68,42,20,16
159,2015,08,4,114.616,115.572,112.692,113.416,63557341,29,13,69,43,20,23
160,2015,08,5,107.492,111.27,104.422,108.552,99216441,30,13,74,41,20,30
161,2015,09,1,110.46,111.8625,108.76,109.925,60010847,63,13,75,41,20,06
162,2015,09,2,111.8925,113.5175,110.4375,112.31,62643930,38,13,74,41,20,13
163,2015,09,3,115.326,116.15,114.062,115.074,54999515,37,13,75,42,20,20
164,2015,09,4,114.074,115.292,113.174,114.528,47532362,35,13,77,44,20,27
165,2015,10,1,108.54,110.315,107.43,109.98,60654192,34,13,75,42,23,04
166,2015,10,2,110.576,111.47,109.188,110.898,52150936,32,14,74,41,20,11
167,2015,10,3,111.51,112.164,110.54,111.3,36488265,31,14,73,40,19,18
168,2015,10,4,113.848,115.246,113.012,114.768,44118465,33,14,74,41,19,25
169,2015,11,2,121.416,122.634,120.546,121.546,38725151,33,15,72,41,19,08
170,2015,11,3,117.138,117.938,115.848,116.302,42964845,31,16,74,41,19,15
171,2015,11,4,115.78,117.29,115.086,116.648,37616019,34,22,67,41,19,22
172,2015,11,5,118.525,119.18,117.495,118.1175,27281404,31,20,74,40,19,29
173,2015,12,1,116.655,118.24,115.5675,116.9625,41811610,33,18,75,39,19,06
174,2015,12,2,116.474,117.696,115.622,116.296,37770788,32,19,73,40,18,13
175,2015,12,3,111.224,111.848,108.746,109.864,63021291,37,20,63,41,17,20
